Province,ConfCount
Anhui,59
Beijing,168
Fujian,156
Gansu,23
Guangdong,438
Guangxi,16
Hainan,15
Hebei,20
Henan,96
Hubei,6506
Jiangsu,720
Jiangxi,86
Shandong,62
Shanghai,169
Shanxi,13
Sichuan,98
Tianjin,41
Yunnan,30
Zhejiang,394
