GbCity_EN,20200101,20200102,20200103,20200104,20200105,20200106,20200107,20200108,20200109,20200110,20200111,20200112,20200113,20200114,20200115,20200116,20200117,20200118,20200119,20200120,20200121,20200122,20200123,20200124,20200125,20200126,20200127,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221,20200222,20200223,20200224,20200225,20200226,20200227,20200228,20200229,20200301,20200302,20200303,20200304,20200305,20200306,20200307,20200308,20200309,20200310,20200311,20200312,20200313,20200314,20200315,20200316,20200317,20200318,20200319,20200320,20200321,20200322,20200323,20200324,20200325,20200326,20200327,20200328,20200329,20200330,20200331,20200401,20200402,20200403,20200404,20200405,20200406,20200407,20200408,20200409,20200410,20200411,20200412,20200413,20200414,20200415,20200416,20200417,20200418,20200419,20200420,20200421,20200422,20200423,20200424,20200425,20200426,20200427,20200428,20200429,20200430,20200501,20200502
Chengdeshi_130800,4.5207,4.9787,5.0785,4.6387,4.4973,4.4943,4.918,5.0962,5.1247,5.1327,4.7125,4.6148,5.0922,5.0635,5.1998,5.2248,5.2381,4.9128,5.1973,5.4156,5.3994,5.4459,5.0969,3.9677,3.4198,3.6225,2.9106,2.6177,2.651,2.7951,2.6977,2.6838,2.1725,2.6184,2.6239,2.5304,2.3343,2.3563,2.2069,2.14,2.4119,2.4039,2.4778,2.5936,1.8534,1.8704,2.168,2.6298,2.7201,2.7822,2.768,2.8438,2.6678,2.7206,3.1859,3.0481,3.1928,3.1678,3.3082,3.0289,3.0673,3.6463,3.1589,3.5784,3.6707,3.7195,3.4302,3.5226,3.7731,3.8648,3.956,3.9466,4.071,3.8305,3.8186,4.2187,4.2113,4.2191,4.1757,4.3711,4.0424,4.1573,4.5073,4.467,4.573,4.1526,4.5566,4.3717,4.3423,4.74,4.6381,4.7381,4.7289,4.8807,4.8711,4.5699,4.5615,4.7854,4.7363,4.7042,3.577,4.6154,4.5207,4.851,4.8278,4.7995,4.3204,4.7812,4.7093,4.4724,4.7531,4.6026,4.7072,4.7375,4.8714,4.6103,4.7842,4.8676,4.8683,4.8989,5.3031,5.436,5.2548
Cangzhoushi_130900,5.3669,5.6446,5.6964,5.3603,5.1762,5.2351,5.3686,5.57,5.558,5.7029,5.3616,5.3111,5.6734,5.7899,5.8184,5.8695,5.7734,5.4846,5.7226,5.8599,5.7607,5.619,5.0828,3.5238,3.0286,2.7633,2.4206,2.393,2.2914,2.3197,2.1856,2.1113,1.9105,2.2224,2.0763,2.0523,1.9409,1.9817,1.8005,1.8718,1.9717,1.8531,1.8473,1.8936,1.6263,1.5548,1.688,1.897,1.9525,2.012,2.024,2.1231,2.1271,2.2177,2.5068,2.4798,2.7102,2.6798,2.7182,2.726,2.9409,3.1937,3.2338,3.3031,3.3922,3.5298,3.5665,3.5288,3.3848,3.9319,4.0416,4.0053,4.2326,4.279,4.3544,4.5097,4.6095,4.7148,4.6335,4.7931,4.7716,4.8957,5.0201,5.0003,5.1091,4.6174,5.1251,5.1219,5.1238,5.2413,5.213,5.1582,5.2474,5.4337,5.2288,5.3136,5.2506,5.1943,5.2657,4.7408,3.9576,5.3057,5.2936,5.4362,5.3991,5.4209,5.2616,5.4375,5.4161,5.3533,5.4426,5.3821,5.3325,5.3103,5.3946,5.3445,5.4195,5.4275,5.4168,5.4336,5.9007,6.0046,5.8818
Langfangshi_131000,4.7849,5.0172,5.1087,4.7791,4.5558,4.5367,4.8466,5.0224,4.9832,5.0836,4.7211,4.6281,4.8457,4.8043,4.7605,4.6963,4.6409,4.2676,4.4283,4.3758,4.2027,4.0363,3.7095,2.767,2.2053,2.1903,1.6855,1.5647,1.5541,1.5031,1.5231,1.5225,1.3718,1.6073,1.5286,1.4217,1.3338,1.396,1.2668,1.2344,1.395,1.3218,1.3324,1.3208,1.1619,1.1659,1.2498,1.4808,1.5122,1.5554,1.5537,1.6682,1.5993,1.6184,1.8574,1.8776,1.9875,1.9872,2.1205,1.9164,2.2075,2.4846,2.4946,2.5595,2.6765,2.7789,2.7712,2.6488,2.8953,3.0802,3.1724,3.1315,3.3025,3.2147,3.2607,3.5305,3.6191,3.6631,3.6564,3.8243,3.7,3.7524,3.986,4.0194,4.1179,3.8002,4.2401,4.2103,4.1799,4.4144,4.3499,4.3575,4.4097,4.5254,4.2555,4.3242,4.3625,4.4826,4.4799,4.373,3.4195,4.4715,4.4289,4.6088,4.6263,4.6144,4.5198,4.6417,4.5873,4.4805,4.61,4.5556,4.5954,4.6167,4.7097,4.568,4.7073,4.7126,4.725,4.7193,5.1501,5.0156,4.8301
Hengshuishi_131100,5.1613,5.3687,5.3783,5.1033,4.7208,4.8923,4.8101,5.0584,5.1661,5.3805,5.0844,5.0639,5.4214,5.4433,5.4601,5.6571,5.5467,5.4487,5.6913,5.823,5.7509,5.7444,5.4949,4.1935,3.7684,3.2408,2.5411,2.4618,2.3252,2.3528,2.3013,2.2882,2.1736,2.4477,2.3282,2.2345,1.9802,2.0545,2.022,2.1127,2.3252,2.2929,2.3221,2.3841,2.0117,2.1468,2.2027,2.4629,2.506,2.6089,2.5954,2.804,2.8908,3.048,3.2576,3.2941,3.4765,3.4532,3.4999,3.5009,3.9094,4.0529,4.1059,4.1834,4.229,4.406,4.4078,4.3911,4.3075,4.625,4.6668,4.5924,4.7258,4.5244,4.5677,4.6514,4.7031,4.7945,4.7305,4.7367,4.6935,4.871,4.9243,4.9081,5.0413,4.5135,5.0114,4.986,5.0384,5.0491,5.0931,5.0209,5.1066,5.2933,5.2431,5.2276,5.0595,5.1832,5.1471,4.5664,3.8001,5.1357,5.1896,5.2008,5.1976,5.2137,5.1751,5.2253,5.2018,5.2049,5.2204,5.2004,5.1854,5.1472,5.2089,5.1386,5.3168,5.2103,5.2325,5.246,5.6295,5.8722,5.8062
Taiyuanshi_140100,4.9633,5.7782,5.8871,5.0054,3.9436,5.3378,5.4017,5.6352,5.6799,5.7959,5.0145,4.7209,5.7166,5.5808,5.6111,5.5086,5.482,4.7664,5.1248,5.0377,4.7085,4.2156,3.4774,2.7224,2.2301,2.1791,1.6378,1.501,1.4885,1.496,1.5303,1.49,1.4937,1.7721,1.629,1.5411,1.4796,1.5304,1.3369,1.2979,1.7509,1.622,1.6129,1.6443,1.6386,1.2817,1.2612,1.8428,1.8203,1.8724,1.9011,1.9216,1.5448,1.5237,2.1855,2.2533,2.3077,2.2045,2.4003,2.0233,2.0253,2.9057,2.9093,2.9765,3.0303,3.1191,2.5723,2.4022,3.4502,3.4774,3.5621,3.5859,3.7054,3.051,2.9835,4.0911,4.1116,4.1309,4.205,4.335,3.6444,3.5667,4.6016,4.5889,4.665,4.351,4.7308,4.0332,3.8538,4.879,4.6909,4.3568,4.6335,4.6107,3.5027,3.7503,4.031,4.8363,4.8346,4.6836,3.5029,4.1658,4.0162,4.9442,4.864,4.8805,4.852,4.9683,4.1732,4.1184,5.0068,4.8987,4.9148,4.9066,5.0172,4.3777,4.8813,5.0226,5.0143,5.0075,5.5081,4.516,4.2445
Datongshi_140200,4.9786,5.3415,5.3196,4.7813,4.463,4.6343,4.9445,5.0836,5.1227,5.2462,4.8134,4.7455,5.3448,5.3544,5.305,5.2745,5.262,4.8281,5.1778,5.3955,5.351,5.3135,5.0125,4.5835,3.6843,4.0315,3.5843,3.1673,2.8763,3.0003,2.8314,2.7681,2.5429,2.8354,2.7094,2.6967,2.6485,2.7811,2.9028,2.6319,3.0811,2.951,2.9655,3.0215,2.8653,2.455,2.4391,2.8955,2.9007,2.938,2.9241,2.9279,2.763,2.8436,3.3925,3.3131,3.3418,3.2454,3.4966,3.4738,3.4711,3.8574,3.7673,3.8629,3.9632,3.9242,3.8804,3.7209,4.1754,4.1822,4.2484,4.2383,4.3427,4.0945,4.2115,4.6014,4.5721,4.5182,4.6142,4.716,4.5076,4.5344,4.8319,4.7639,4.8262,4.4343,4.7819,4.6045,4.5414,4.9421,4.8757,4.8561,4.9087,5.0607,4.7421,4.7626,4.731,4.9471,4.8838,4.7438,3.6744,4.6627,4.6893,4.9825,4.8925,4.9096,4.7639,4.9243,4.6935,4.5334,4.8253,4.7173,4.7152,4.8204,4.9801,4.6984,4.9002,4.9527,4.989,5.0038,5.492,5.371,5.2259
Yangquanshi_140300,5.1074,5.4151,5.4893,4.8207,3.7859,4.3248,4.6715,5.1175,5.2501,5.3969,4.9189,4.8678,5.399,5.2936,5.3063,5.3363,5.3677,4.8711,5.2026,5.3261,5.213,5.1251,4.7575,4.183,3.5137,3.541,2.5839,2.383,2.3872,2.4769,2.558,2.5346,2.5105,2.5043,2.2791,2.1214,2.0895,2.1492,2.0239,2.036,2.4494,2.4243,2.4571,2.5603,2.5348,2.3062,2.3132,2.7786,2.8235,2.8914,2.8939,2.9896,2.816,2.8632,3.3457,3.4353,3.4152,3.131,3.7018,3.6149,3.6524,4.1693,4.1276,4.176,4.2226,4.2973,4.0952,3.9773,4.4678,4.4812,4.552,4.5416,4.5915,4.3006,4.3218,4.7662,4.7797,4.7439,4.7949,4.8788,4.5786,4.5677,4.9287,4.9106,4.9381,4.5044,4.9952,4.6477,4.6163,4.9973,5.0337,4.6323,5.0315,5.1344,4.8569,4.6902,4.7617,4.9834,4.9981,4.6362,3.5755,4.6959,4.6859,5.0954,5.0329,5.0488,5.0045,5.1134,4.7133,4.6914,5.0794,5.0323,4.9921,5.008,5.1359,4.8272,5.0419,5.1053,5.167,5.1298,5.5152,5.3283,5.0506
Zhangzhishi_140400,5.0824,5.4347,5.4412,4.9589,3.932,4.5969,4.2873,4.7247,4.9988,4.9434,4.1889,4.494,5.2856,5.3743,5.2329,4.8419,5.24,4.8753,5.1762,5.3661,5.2655,5.1615,4.8714,4.0119,3.4935,2.9066,2.5231,2.3873,2.3824,2.4307,2.3595,2.2721,2.2922,2.5002,2.3948,2.306,2.1769,2.3912,2.3228,2.377,2.5124,2.4158,2.4117,2.4305,2.3707,2.1596,2.1916,2.5798,2.6175,2.667,2.6435,2.7525,2.7454,2.8876,3.1647,3.3316,3.1997,2.9249,3.1604,3.441,3.4925,3.6603,3.725,3.7923,3.8512,4.0172,3.9327,3.8914,4.2106,4.2767,4.3422,4.3172,4.4166,4.2794,4.3627,4.6333,4.6314,4.6302,4.6808,4.8021,4.6194,4.655,4.8753,4.8649,4.8844,4.6086,4.8557,4.6861,4.6904,4.9187,4.9249,4.5484,4.8427,5.2743,5.2453,4.9431,4.8243,4.9868,4.9074,4.7847,3.2146,4.5927,4.7634,5.0469,4.9713,4.9844,4.9577,5.0686,4.5763,4.7936,5.0469,4.9836,4.9658,5.0109,5.1621,4.9213,5.015,5.0545,5.0749,5.0571,5.5175,5.4217,5.3015
Jinchengshi_140500,5.5121,5.9163,6.0448,5.4368,4.1746,4.9987,4.9204,5.4341,5.5967,5.819,4.8838,5.3144,5.9437,5.8735,5.5823,5.3113,5.8956,5.408,5.7158,5.846,5.6295,5.5204,5.1017,3.8925,3.6387,3.0697,2.4432,2.4628,2.3522,2.3838,2.3232,1.8646,1.6658,1.4746,1.3104,1.297,1.2308,1.4331,1.4241,1.5726,1.9377,1.8057,1.8077,1.8434,1.8308,1.6114,1.6061,1.9345,1.9182,1.9365,1.9736,1.9937,1.8258,1.8733,2.3394,2.4527,2.4243,2.2833,2.441,2.5263,2.8281,3.2476,3.4619,3.54,3.7591,4.1885,4.0381,3.9668,4.5258,4.5217,4.6181,4.6058,4.7436,4.4193,4.4919,4.953,4.9239,4.9562,5.0575,5.2388,4.9493,4.9781,5.3876,5.3202,5.3791,5.1637,5.4263,5.1119,5.1593,5.4653,5.3962,5.238,5.3074,5.6778,5.4395,5.2498,5.2191,5.4632,5.466,5.3818,3.7867,5.0906,5.2436,5.5487,5.4411,5.4824,5.4283,5.5926,4.9635,5.1967,5.5451,5.4654,5.4719,5.4881,5.6856,5.3518,5.4892,5.5133,5.5408,5.5245,6.147,5.9213,5.7245
Shuozhoushi_140600,5.2345,5.3951,5.3779,4.919,4.494,4.4359,4.843,5.0602,5.0759,5.2723,4.9328,4.8486,5.0837,5.1841,5.2424,5.3184,5.2571,5.1528,5.4428,5.5075,5.4791,5.4851,5.1306,4.3488,3.1166,3.7222,3.5673,3.0468,2.8922,3.1899,3.1186,3.0604,2.874,3.1652,2.9982,2.8325,2.721,2.7196,2.7427,2.4174,2.7147,2.5662,2.5863,2.6399,2.6274,2.4024,2.4586,2.7657,2.7701,2.8337,2.8176,2.8501,2.9451,3.1596,3.4753,3.485,3.5233,3.3377,3.6997,3.7748,3.8639,3.8708,3.8597,3.9748,4.1271,4.1063,4.1831,4.0511,4.2494,4.3277,4.3932,4.3847,4.5082,4.3227,4.5859,4.6724,4.6639,4.5823,4.6864,4.7977,4.713,4.8731,4.8604,4.7956,4.8736,4.4971,4.7996,4.6609,4.7796,4.9073,4.8798,4.7556,4.8542,5.0623,5.2109,5.0552,4.8744,4.9171,4.8961,4.8601,3.6662,4.8304,4.9597,5.0097,4.8724,4.9182,4.7804,4.9862,4.7656,4.8397,4.8769,4.7994,4.7736,4.8341,5.0011,4.9326,5.0818,5.0086,5.0486,5.0934,5.657,5.7041,5.5203
