,fips,covid_cases
100,01001,
201,01003,
302,01005,
403,01007,
504,01009,
591,01011,
692,01013,
793,01015,
894,01017,
995,01019,
1096,01021,
1183,01023,
1284,01025,
1371,01027,
1472,01029,
1573,01031,
1674,01033,
1775,01035,
1846,01037,
1947,01039,
2041,01041,
2142,01043,
2243,01045,
2344,01047,
2445,01049,
2546,01051,
2647,01053,
2748,01055,
2835,01057,
2936,01059,
3037,01061,
3138,01063,
3233,01065,
3334,01067,
3435,01069,
3536,01071,
3637,01073,
3724,01075,
3825,01077,
3926,01079,
4027,01081,
4128,01083,
4229,01085,
4330,01087,
4431,01089,
4532,01091,
4633,01093,
4734,01095,
4835,01097,
4935,01099,
5036,01101,
5137,01103,
5219,01105,
5304,01107,
5405,01109,
5506,01111,
5607,01113,
5708,01117,
5809,01115,
5891,01119,
5992,01121,
6093,01123,
6194,01125,
6295,01127,
6382,01129,
6457,01131,
6558,01133,
6659,04001,
6760,04003,
6861,04005,
6962,04007,
7063,04009,
7150,04011,
7251,04012,
7352,04013,
7453,04015,
7554,04017,
7655,04019,
7756,04021,
7857,04023,
7958,04025,
8059,04027,
8160,06001,
8261,06005,
8362,06007,
8463,06009,
8564,06011,
8665,06013,
8766,06015,
8867,06017,
8968,06019,
9069,06021,
9170,06023,
9271,06025,
9372,06027,
9473,06029,
9574,06031,
9675,06033,
9776,06035,
9877,06037,
9978,06039,
10079,06041,
10180,06043,
10281,06045,
10382,06047,
10453,06049,
10554,06051,
10655,06053,
10756,06055,
10857,06057,
10958,06059,
11059,06061,
11159,06063,
11260,06065,
11361,06067,
11462,06069,
11563,06071,
11664,06073,
11765,06075,
11866,06077,
11967,06079,
12068,06081,
12169,06083,
12270,06085,
12371,06087,
12472,06089,
12573,06093,
12674,06095,
12775,06097,
12876,06099,
12977,06101,
13078,06103,
13165,06105,
13266,06107,
13367,06109,
13468,06111,
13569,06113,
13670,06115,
13771,08001,
13872,08003,
13973,08005,
14074,08007,
14189,08013,
14290,08014,
14391,08015,
14492,08019,
14560,08021,
14661,08029,
14762,08031,
14863,08035,
14964,08037,
15065,08041,
15166,08039,
15267,08043,
15368,08045,
15439,08047,
15540,08049,
15641,08051,
15725,08055,
15826,08059,
15928,08063,
16029,08067,
16127,08065,
16228,08069,
16329,08071,
16429,08073,
16530,08075,
16631,08077,
16732,08081,
16833,08083,
16934,08085,
17035,08087,
17136,08089,
17243,08093,
17246,08095,
17346,08097,
17447,08099,
17548,08101,
17580,08103,
17670,08105,
17771,08107,
17818,08109,
17898,08113,
17999,08117,
18100,08119,
18205,08123,
18292,08125,
18393,09001,
18494,09003,
18595,09005,
18696,09007,
18797,09009,
18898,09011,
18999,09013,
19100,09015,
19201,10001,
19302,10003,
19403,10005,
19504,12001,
19605,12003,
19706,12005,
19807,12007,
