fips,dem_share
01001,0.237696712
01003,0.19385601
01005,0.46527844100000004
01007,0.212495748
01009,0.084258246
01011,0.7494692140000001
01013,0.42670636700000003
01015,0.276658867
01017,0.41611510799999996
01019,0.144134911
01021,0.158473515
01023,0.42635765200000003
01025,0.44117872799999996
01027,0.186745169
01029,0.103746398
01031,0.203255164
01033,0.293477825
01035,0.467729689
01037,0.339299315
01039,0.149749059
01041,0.265517792
01043,0.10028252300000001
01045,0.235372553
01047,0.68305662
01049,0.140246263
01051,0.226596887
01053,0.310205456
01055,0.236436917
01057,0.16511092300000002
01059,0.182475083
01061,0.12969892800000002
01063,0.822336066
01065,0.593905473
01067,0.28394450000000004
01069,0.250099674
01071,0.175038124
01073,0.515705593
01075,0.148722366
01077,0.251790006
01079,0.244588307
01081,0.35866939200000003
01083,0.234972949
01085,0.730550569
01087,0.827789934
01089,0.38449344799999996
01091,0.5107331270000001
01093,0.110289587
01095,0.139228678
01097,0.417895413
01099,0.421770032
01101,0.6144892470000001
01103,0.22221783399999998
01105,0.724516862
01107,0.416264934
01109,0.383961118
01111,0.224894473
01113,0.497455339
01115,0.145546875
01117,0.22692436800000002
01119,0.740290126
01121,0.36282815
01123,0.283228985
01125,0.384062878
01127,0.152585505
01129,0.278213993
01131,0.709218699
01133,0.084553476
04001,0.617584325
04003,0.34889533100000003
04005,0.5420179310000001
04007,0.190833038
04009,0.162562789
04011,0.210323575
04012,0.264661401
04013,0.448329989
04015,0.21834306899999997
04017,0.408472725
04019,0.532826582
04021,0.369691075
04023,0.7113734559999999
04025,0.310965487
04027,0.464157706
06001,0.7869001290000001
06005,0.338558701
06007,0.43496505
06009,0.34336099600000003
06011,0.401236429
06013,0.684908028
06015,0.364616028
06017,0.388969025
06019,0.50064289
06021,0.323653643
06023,0.560375384
06025,0.679274708
06027,0.390180559
06029,0.404193101
06031,0.40150375899999996
06033,0.46930111
06035,0.211326492
06037,0.717572215
06039,0.394994433
06041,0.780531761
06043,0.35169539299999997
06045,0.589134669
06047,0.527158174
06049,0.23152059100000003
06051,0.525587566
06053,0.66778604
06055,0.638711465
06057,0.474251388
06059,0.509353072
06061,0.402042234
06063,0.357482431
06065,0.497337605
06067,0.5828813039999999
06069,0.5711092870000001
06071,0.521164923
06073,0.5629791789999999
06075,0.8503962620000001
06077,0.540331718
06079,0.497055752
06081,0.7566606440000001
06083,0.606054778
06085,0.727124422
06087,0.739390317
06089,0.27857794199999997
06093,0.353015811
06095,0.61620704
06097,0.6937639729999999
06099,0.47428926600000004
06101,0.390060555
06103,0.284800067
06105,0.389377418
06107,0.423602827
06109,0.35735829799999996
06111,0.552708643
06113,0.666975271
06115,0.343942952
08001,0.498582604
08003,0.459576308
08005,0.527593171
08007,0.340645865
08011,0.306175402
08013,0.703372984
08014,0.523521452
08015,0.434488889
08019,0.465223321
08021,0.440328195
08029,0.243418702
08031,0.736927908
08035,0.36617262
08037,0.558973952
08039,0.19614469899999998
08041,0.338624372
08043,0.24106858399999997
08045,0.42580279600000004
08047,0.45693512299999994
08049,0.39101071299999995
08051,0.544836379
08055,0.43166798799999995
08059,0.488856186
08061,0.10643274900000001
08063,0.144786602
08065,0.505157862
08067,0.498394864
08069,0.47511480799999994
08071,0.39010746399999996
08073,0.16789819399999997
08075,0.19039292300000002
08077,0.279821771
08081,0.13394636
08083,0.308990512
08085,0.25800056600000004
