Province,ConfCount
Anhui,10
Beijing,41
Fujian,24
Gansu,2
Guangdong,61
Guizhou,1
Hainan,6
Hebei,4
Henan,8
Hubei,736
Jiangsu,111
Jiangxi,4
Shandong,12
Shanghai,33
Sichuan,21
Tianjin,10
Yunnan,4
Zhejiang,28
